OrderID,OrderDate,Category,Region,UnitsSold,UnitPrice,CustomerAge,Revenue
1490,2024-12-23 16:26:56.032064,Clothing,North,5.0,392.28,59.0,1961.3999999999999
1430,2024-11-09 19:08:32.224448,Sports,North,4.0,434.79,69.0,1739.16
1083,2024-02-29 23:31:08.537074,Books,North,2.0,385.3,63.0,770.6
1121,2024-03-28 18:36:47.615230,Clothing,North,21.0,33.63,59.0,706.23
1222,2024-06-10 15:40:45.691382,Electronics,South,75.125,17.17,38.0,1289.8962500000002
1148,2024-04-17 12:36:04.328657,Home & Kitchen,West,2.0,207.18,27.0,414.36
1033,2024-01-24 09:45:48.697394,Sports,East,37.0,472.31,20.0,17475.47
1386,2024-10-08 14:43:02.765531,Electronics,West,29.0,70.13,35.0,2033.77
1201,2024-05-26 07:01:19.358717,Clothing,North,26.0,481.68,63.0,12523.68
1482,2024-12-17 20:00:28.857715,Sports,South,49.0,327.36,52.0,16040.640000000001
1296,2024-08-03 18:45:27.054108,Books,East,41.0,56.94,19.0,2334.54
1262,2024-07-09 21:53:01.563126,Home & Kitchen,East,10.0,389.42,20.0,3894.2000000000003
1434,2024-11-12 17:21:45.811623,Home & Kitchen,West,34.0,33.26,67.0,1130.84
1475,2024-12-12 17:07:20.080160,Home & Kitchen,North,26.0,20.04,43.0,521.04
1460,2024-12-01 17:47:44.128256,Home & Kitchen,East,34.0,338.35,43.0,11503.900000000001
1458,2024-11-30 06:41:07.334669,Home & Kitchen,East,27.0,353.82,30.0,9553.14
1356,2024-09-16 16:03:50.861723,Home & Kitchen,West,33.0,326.91,42.0,10788.03
1467,2024-12-06 20:40:52.905811,Clothing,South,26.0,347.85,49.0,9044.1
1116,2024-03-25 02:50:15.631262,Books,West,41.0,92.38,21.0,3787.58
1404,2024-10-21 18:42:33.907815,Books,South,9.0,286.78999999999996,67.0,2581.1099999999997
1014,2024-01-10 12:12:59.158316,Clothing,East,45.0,297.16,46.0,13372.2
1275,2024-07-19 10:06:00.721442,Home & Kitchen,South,27.0,344.35,47.0,9297.45
1309,2024-08-13 06:58:26.212424,Books,West,19.0,286.78999999999996,35.0,5449.009999999999
1486,2024-12-20 18:13:42.444889,Home & Kitchen,North,34.0,28.86,46.0,981.24
1337,2024-09-02 18:31:01.322645,Electronics,South,10.0,265.57,31.0,2655.7
1498,2024-12-29 12:53:23.206412,Electronics,West,17.0,382.33,19.0,6499.61
1133,2024-04-06 13:16:28.376753,Sports,South,40.0,115.79,41.0,4631.6
1376,2024-10-01 07:09:58.797595,Home & Kitchen,East,7.0,437.34,21.0,3061.3799999999997
1260,2024-07-08 10:46:24.769539,Clothing,North,9.0,96.84,25.0,871.5600000000001
1269,2024-07-15 00:46:10.340681,Books,South,38.0,460.82,57.0,17511.16
1279,2024-07-22 08:19:14.308617,Home & Kitchen,North,24.0,36.78,39.0,882.72
1497,2024-12-28 19:20:04.809619,Home & Kitchen,East,43.0,404.88,18.0,17409.84
1302,2024-08-08 04:05:17.434869,Books,West,49.0,352.72,18.0,17283.280000000002
1147,2024-04-16 19:02:45.931863,Sports,East,47.0,48.06,56.0,2258.82
1026,2024-01-19 06:52:39.919839,Home & Kitchen,West,30.0,331.1,25.0,9933.0
1485,2024-12-20 00:40:24.048096,Electronics,West,35.0,499.71,69.0,17489.85
1314,2024-08-16 22:44:58.196392,Electronics,North,45.0,346.29,32.0,15583.050000000001
1247,2024-06-28 22:33:25.611222,Sports,South,1.0,201.81,22.0,201.81
1347,2024-09-10 02:04:05.290581,Home & Kitchen,North,8.0,95.15,31.0,761.2
1223,2024-06-11 09:14:04.088176,Home & Kitchen,South,33.0,15.95,25.0,526.35
1419,2024-11-01 18:02:09.859719,Books,North,14.0,310.49,33.0,4346.860000000001
1052,2024-02-07 07:18:38.236472,Sports,North,26.0,300.15,42.0,7803.9
1259,2024-07-07 17:13:06.372745,Clothing,East,47.0,275.975,42.0,12970.825
1428,2024-11-08 08:01:55.430861,Books,West,43.0,403.81,69.0,17363.83
1041,2024-01-30 06:12:15.871743,Sports,North,11.0,350.22,46.0,3852.42
1090,2024-03-06 02:24:17.314629,Home & Kitchen,North,9.0,147.18,33.0,1324.6200000000001
1207,2024-05-30 16:21:09.739478,Books,North,10.0,345.5,20.0,3455.0
1240,2024-06-23 19:40:16.833667,Books,North,29.0,140.26,40.0,4067.54
1483,2024-12-18 13:33:47.254509,Clothing,South,39.0,57.76,42.0,2252.64
1239,2024-06-23 02:06:58.436873,Books,East,9.0,328.98,42.0,2960.82
1480,2024-12-16 08:53:52.064128,Books,Unknown,11.0,331.15,35.0,3642.6499999999996
1311,2024-08-14 18:05:03.006012,Electronics,East,30.0,201.48,52.0,6044.4
1004,2024-01-03 04:39:55.190380,Books,North,40.0,42.19,24.0,1687.6
1180,2024-05-10 22:21:53.026052,Electronics,North,38.0,19.48,52.0,740.24
1249,2024-06-30 09:40:02.404809,Sports,East,37.0,492.07,46.0,18206.59
1293,2024-08-01 14:05:31.863727,Electronics,South,7.0,391.03,40.0,2737.21
1066,2024-02-17 13:04:55.791583,Sports,South,1.0,309.85,64.0,309.85
1139,2024-04-10 22:36:18.757515,Clothing,West,38.0,136.47,43.0,5185.86
1437,2024-11-14 22:01:41.002004,Clothing,North,11.0,24.48,52.0,269.28000000000003
1304,2024-08-09 15:11:54.228456,Books,South,1.0,9.84,20.0,9.84
1114,2024-03-23 15:43:38.837675,Home & Kitchen,West,8.0,258.78,53.0,2070.24
1469,2024-12-08 07:47:29.699398,Electronics,East,28.0,285.04,34.0,7981.120000000001
1169,2024-05-02 21:15:30.661322,Electronics,North,33.0,426.04,52.0,14059.320000000002
1102,2024-03-14 21:03:58.076152,Electronics,South,44.0,49.26,28.0,2167.44
1373,2024-09-29 02:30:03.607214,Clothing,East,31.0,222.11,21.0,6885.410000000001
1214,2024-06-04 19:14:18.517034,Clothing,East,26.0,312.35,21.0,8121.1
1406,2024-10-23 05:49:10.701402,Books,North,44.0,165.97,32.0,7302.68
1341,2024-09-05 16:44:14.909819,Electronics,West,33.0,127.32,52.0,4201.5599999999995
1461,2024-12-02 11:21:02.525050,Electronics,South,12.0,485.11,67.0,5821.32
1338,2024-09-03 12:04:19.719438,Sports,North,19.0,367.14,26.0,6975.66
1452,2024-11-25 21:21:16.953907,Sports,South,42.0,260.22,38.0,10929.240000000002
1194,2024-05-21 04:08:10.581162,Clothing,West,12.0,133.6,21.0,1603.1999999999998
1061,2024-02-13 21:18:23.807615,Clothing,West,33.0,272.05,62.0,8977.65
1417,2024-10-31 06:55:33.066132,Clothing,North,17.0,218.29,24.0,3710.93
